"Index","equity.value","market.value","loan"
2014-10-22,16654.4042021108,33287.6578300145,16515.6563458526
2014-10-23,16659.5793358786,33292.8329637823,16515.6563458526
2014-10-24,16673.1914363305,33285.1919242716,16494.3819314757
2014-10-27,16712.1717523636,33324.1722403047,16494.3819314757
2014-10-28,16749.2368896781,33361.2373776192,16494.3819314757
2014-10-29,16740.0394525469,33352.039940488,16494.3819314757
2014-10-30,16746.563266354,33398.3315601692,16534.1100092719
2014-10-31,16759.2408668931,33332.5225444366,16455.5448278188
2014-11-03,16714.2797620447,33287.5614395882,16455.5448278188
2014-11-04,16712.8808701361,33286.1625476796,16455.5448278188
2014-11-05,16663.2404454934,33330.7127868882,16549.6413951027
2014-11-06,16657.0950068819,33324.5673482766,16549.6413951027
2014-11-07,16727.840974174,33395.3133155687,16549.6413951027
2014-11-10,16767.0434269567,33434.5157683514,16549.6413951027
2014-11-11,16800.7627803998,33468.2351217946,16549.6413951027
2014-11-12,16831.4299636923,33498.902305087,16549.6413951027
2014-11-13,16813.0346658776,33541.8560069597,16610.9291070782
2014-11-14,16837.9946932023,33566.8160342845,16610.9291070782
2014-11-17,16840.6349134084,33569.4562544906,16610.9291070782
2014-11-18,16844.3759568649,33573.197297947,16610.9291070782
2014-11-19,16818.8731381188,33547.694479201,16610.9291070782
2014-11-20,16834.4538419893,33563.2751830715,16610.9291070782
2014-11-21,16874.6708419162,33603.4921829984,16610.9291070782
2014-11-24,16924.562740596,33820.7066071288,16778.0490052538
2014-11-25,16929.7551523942,33847.8619097873,16799.9899551642
2014-11-26,16967.9990320944,33886.1057894875,16799.9899551642
2014-11-28,16940.1198215634,33792.5098689189,16734.2074626342
2014-12-01,16915.1700166284,33767.560063984,16734.2074626342
2014-12-02,16940.106081643,33792.4961289986,16734.2074626342
2014-12-03,16939.1620171785,33841.4377844771,16784.0433466931
2014-12-04,16994.2474751775,33824.9607593421,16712.4092294419
2014-12-05,16972.5903623001,33803.3036464647,16712.4092294419
2014-12-08,16999.4197952013,33830.1330793659,16712.4092294419
2014-12-09,16999.5424232925,33789.933342804,16672.0465020614
2014-12-10,17029.1985560071,33819.5894755186,16672.0465020614
2014-12-11,17008.1287258067,33818.7231900205,16692.2298634023
2014-12-15,16975.4218691762,33843.1942155317,16749.3506247826
2014-12-16,16985.6476561234,33853.4200024788,16749.3506247826
2014-12-17,16980.2466813515,33901.5380117287,16802.8161432859
2014-12-18,17003.7795052653,33925.0708356425,16802.8161432859
2014-12-19,17022.1293287875,33922.9319950409,16782.3069699888
2014-12-22,17019.8953389261,33920.6980051795,16782.3069699888
2014-12-23,16972.5434487318,33873.3461149853,16782.3069699888
2014-12-29,17064.7540779207,33907.9052026346,16724.5977191984
2014-12-30,17064.8624444294,33908.0135691432,16724.5977191984
2015-01-05,17052.8045302192,33981.2598324195,16809.8166777264
2015-01-06,17046.1385633833,33997.1728839444,16832.3731396253
2015-01-07,17048.3300622874,34052.92223227,16885.8774847016
2015-01-08,17053.5867903691,34038.7029233982,16866.3819522158
2015-01-09,17082.9751644434,34068.0912974726,16866.3819522158
2015-01-12,17070.0161348283,34055.1322678575,16866.3819522158
2015-01-13,17065.2614645954,34050.3775976246,16866.3819522158
2015-01-14,17076.3815627371,34022.2860243039,16827.0933997
2015-01-15,17098.9890360631,34044.8934976299,16827.0933997
2015-01-16,17188.2569854385,34312.7048790147,17005.4584666425
2015-01-20,17146.0694772922,34214.0811324285,16947.9740414611
2015-01-21,17204.5243355806,34318.4841275359,16993.840129987
2015-01-22,17149.6864765914,34263.6462685467,16993.840129987
2015-01-23,17157.116132158,34271.0759241132,16993.840129987
2015-01-27,17222.6335698567,34410.5004446896,17067.4748922184
2015-01-28,17193.487507768,34381.3543826009,17067.4748922184
2015-01-29,17171.2437705414,34359.1106453743,17067.4748922184
2015-01-30,17165.6317892219,34296.5839410745,17010.5031975434
2015-02-02,17247.6413347405,34378.5934865931,17010.5031975434
2015-02-03,17335.2934717749,34689.3364101707,17233.3711161681
2015-02-04,17253.9765489579,34608.0194873537,17233.3711161681
2015-02-05,17315.5419500334,34651.4420752533,17215.210142018
2015-02-06,17262.0978067073,34597.9979319273,17215.210142018
2015-02-09,17259.0405291987,34432.2596884637,17052.3663322534
2015-02-10,17243.7321652644,34416.9513245295,17052.3663322534
2015-02-11,17228.2151939143,34382.4789994041,17033.39200415
2015-02-12,17303.9616760151,34492.5380024277,17067.67024683
2015-02-13,17379.1267569248,34567.7030833374,17067.67024683
2015-02-17,17401.6974280021,34728.4651306475,17205.7235697401
2015-02-25,17472.6847524872,34799.4524551326,17205.7235697401
2015-02-26,17452.786630992,34779.5543336374,17205.7235697401
2015-02-27,17485.7876182324,34812.5553208778,17205.7235697401
2015-03-02,17486.3710658842,34813.1387685297,17205.7235697401
2015-03-03,17452.7117954147,34779.4794980602,17205.7235697401
2015-03-04,17435.2199526926,34761.987655338,17205.7235697401
2015-03-05,17404.8884507598,34731.6561534053,17205.7235697401
2015-03-06,17302.5247341093,34575.1454472354,17151.2500884908
2015-03-09,17303.3975557356,34576.0182688616,17151.2500884908
2015-03-10,17242.3756319743,34583.3092664867,17219.4947652005
2015-03-11,17240.5174076841,34581.4510421965,17219.4947652005
2015-03-12,17316.0166633864,34656.9502978988,17219.4947652005
2015-03-13,17254.9020239686,34595.835658481,17219.4947652005
2015-03-16,17303.1571007466,34644.090735259,17219.4947652005
2015-03-17,17291.6583920303,34591.4363794424,17177.008518469
2015-03-18,17383.9447342901,34825.516431162,17318.6605758714
2015-03-19,17316.6038448376,34758.1755417095,17318.6605758714
2015-03-20,17427.8703240252,34869.4420208971,17318.6605758714
2015-03-23,17532.5626649563,35127.978643879,17472.1400695679
2015-03-24,17530.1620854063,35125.5780643289,17472.1400695679
2015-03-25,17514.6242245156,35110.0402034383,17472.1400695679
2015-03-26,17501.9685277334,35097.3845066561,17472.1400695679
2015-03-27,17473.4504165107,35068.8663954334,17472.1400695679
2015-03-30,17455.9512838254,35051.3672627481,17472.1400695679
2015-03-31,17381.3822886438,34768.6071223412,17263.7405247979
