"Index","value"
2010-11-24,114873.786494643
2010-11-25,114799.209088068
2010-11-26,114826.379511571
2010-11-29,114721.665099483
2010-11-30,114706.014686759
2010-12-01,114732.504286722
2010-12-02,114798.402725132
2010-12-03,115006.148112209
2010-12-06,114973.473064641
2010-12-07,114687.533704151
2010-12-08,114591.413959976
2010-12-09,114588.721114416
2010-12-10,114530.200198428
2010-12-13,114738.449672464
2010-12-14,114570.350474584
2010-12-15,114353.258531997
2010-12-16,114445.854425177
2010-12-17,114590.150905594
2010-12-20,114698.340312247
2010-12-21,114625.656897678
2010-12-22,114533.149543673
2010-12-23,114504.511343652
2010-12-24,114418.639284399
2010-12-27,114532.191517323
2010-12-28,114385.136303477
2010-12-29,114606.24492125
2010-12-30,114578.789627099
2010-12-31,114710.09767918
2011-01-04,114680.016312132
2011-01-05,114483.666808483
2011-01-06,114461.401834061
2011-01-07,114532.648067992
2011-01-10,114647.650722809
2011-01-11,114546.629233471
2011-01-12,114597.970770902
2011-01-13,114793.307069294
2011-01-14,114668.337083256
2011-01-17,114704.229008323
2011-01-18,114670.76005438
2011-01-19,114737.877515443
2011-01-20,114562.453496102
2011-01-21,114674.152112057
2011-01-24,114806.039552012
2011-01-25,114896.704765555
2011-01-26,114812.6513164
2011-01-27,114801.44493415
2011-01-28,114843.792487754
2011-01-31,114987.871509278
2011-02-01,115076.370292532
2011-02-09,114799.992536918
2011-02-10,114635.080536503
2011-02-11,114723.836820552
2011-02-14,114776.12028393
2011-02-15,114696.315080752
2011-02-16,114807.232926766
2011-02-17,114944.964122986
2011-02-18,114926.24453078
2011-02-21,114920.728599425
2011-02-22,115010.8733544
2011-02-23,115100.782839396
2011-02-24,115224.949649168
2011-02-25,115321.729192593
2011-02-28,115365.577714627
2011-03-01,115308.578071389
2011-03-02,115342.162443446
2011-03-03,115207.901761845
2011-03-04,115291.422306006
2011-03-07,115260.169656842
2011-03-08,115196.93404188
2011-03-09,115262.179294391
2011-03-10,115335.78849079
2011-03-11,115514.538481693
2011-03-14,115626.181930222
2011-03-15,115596.201745818
2011-03-16,115611.679443539
2011-03-17,115673.03868201
2011-03-18,115841.795402141
2011-03-21,116015.248499446
2011-03-22,115971.687267785
2011-03-23,115938.643904883
2011-03-24,116016.562746419
2011-03-25,115945.136281397
2011-03-28,115963.360441706
2011-03-29,115973.851400263
2011-03-30,116052.927857
2011-03-31,115992.069730719
2011-04-01,116058.719852424
2011-04-06,116096.718632831
2011-04-07,116080.735186587
2011-04-08,116150.297909426
2011-04-11,116133.82927694
2011-04-12,116189.061426821
2011-04-13,116271.262866596
2011-04-14,116310.994973299
2011-04-15,116359.545897118
2011-04-18,116284.210807119
2011-04-19,116392.96872475
2011-04-20,116526.639342608
2011-04-21,116470.414335412
2011-04-22,116547.708129994
2011-04-25,116673.065836583
2011-04-26,116743.334626812
2011-04-27,116750.231370558
2011-04-28,116842.733692086
2011-04-29,116883.450926755
2011-05-03,116937.202945442
2011-05-04,116872.767644396
2011-05-05,116702.538437196
2011-05-06,116766.402943062
2011-05-09,116939.555602189
2011-05-10,116990.7455713
2011-05-11,116766.078656746
2011-05-12,116896.706469335
2011-05-13,116762.318784056
2011-05-16,116921.773951467
2011-05-17,116998.976206585
2011-05-18,116985.385881228
2011-05-19,117042.741839522
2011-05-20,116959.186176442
2011-05-23,116906.368753106
2011-05-24,116961.017227307
2011-05-25,116945.249053389
2011-05-26,117059.534301493
2011-05-27,117278.889092596
2011-05-30,117269.541987643
2011-05-31,117295.310664624
2011-06-01,117291.961812837
2011-06-02,117384.917226738
2011-06-03,117519.483485425
2011-06-07,117568.005707597
2011-06-08,117481.142382324
2011-06-09,117431.839540304
2011-06-10,117366.793371979
2011-06-14,117349.022229101
2011-06-15,117286.53110116
2011-06-16,117377.235833541
2011-06-17,117461.203830554
2011-06-20,117438.849021103
2011-06-21,117468.32350339
2011-06-22,117382.960673437
2011-06-23,117438.986877085
2011-06-24,117471.25993188
2011-06-27,117482.29897663
2011-06-28,117403.153916228
2011-06-29,117376.638029147
2011-06-30,117407.310296984
2011-07-01,117416.529713473
2011-07-04,117451.680794751
2011-07-05,117421.179388043
2011-07-06,117386.829380216
2011-07-07,117420.740153475
2011-07-08,117365.434036172
2011-07-11,117394.341659265
2011-07-12,117508.18674691
2011-07-13,117736.026751012
2011-07-14,117672.23572414
2011-07-15,117601.910285356
2011-07-18,117587.131660134
2011-07-19,117704.485113098
2011-07-20,117748.97134683
2011-07-21,117902.590608367
2011-07-22,117818.216745941
2011-07-25,117832.524737636
2011-07-26,117980.555776457
2011-07-27,117991.665018444
2011-07-28,117971.492309309
2011-07-29,118079.610049211
2011-08-02,118116.256043782
2011-08-03,118345.331359181
2011-08-04,118062.827658853
2011-08-05,118456.18131313
2011-08-08,118260.658509473
2011-08-09,118695.97145161
2011-08-10,118650.864297651
2011-08-11,118777.842073538
2011-08-12,118775.439147468
2011-08-15,118915.399420651
2011-08-16,118968.777803943
2011-08-17,119081.386439772
2011-08-18,119030.983958424
2011-08-19,119133.669481813
2011-08-22,119218.024939142
2011-08-23,119355.074100952
2011-08-24,119152.609907154
2011-08-25,119146.24762046
2011-08-30,119395.598334279
2011-08-31,119332.703616649
2011-09-01,119384.353636607
2011-09-02,119522.891240285
2011-09-05,119479.640445793
2011-09-06,119439.703248446
2011-09-07,119505.582835282
2011-09-08,119439.849724796
2011-09-13,119264.913700144
2011-09-14,119248.759036085
2011-09-15,119221.820655752
2011-09-19,119284.123077993
2011-09-22,119185.191407284
2011-09-23,119231.830029307
2011-09-26,119226.473554727
2011-09-27,119089.357725468
2011-09-28,118932.292351773
2011-09-29,119069.019671143
2011-09-30,118910.04983115
2011-10-10,118962.728966979
2011-10-11,119034.652231037
2011-10-12,119103.908289181
2011-10-13,119252.51158628
2011-10-14,119400.897089036
2011-10-17,119193.479423701
2011-10-18,119391.879930914
2011-10-19,119311.971408429
2011-10-20,119365.851054559
2011-10-21,119474.841173617
2011-10-24,119482.558267923
2011-10-25,119490.48852706
2011-10-26,119462.167508484
2011-10-27,119566.205765868
2011-10-28,119568.039116238
2011-10-31,119520.629984219
2011-11-01,119612.468351891
2011-11-02,119701.775858683
2011-11-03,119719.42727557
2011-11-04,119625.011354042
2011-11-07,119729.182725171
2011-11-08,119688.402767968
2011-11-09,119447.590138364
2011-11-10,119484.869814863
2011-11-11,119669.854789255
2011-11-14,119581.623108633
2011-11-15,119510.00067327
2011-11-16,119441.656182822
2011-11-17,119459.381877999
2011-11-18,119573.37889764
2011-11-21,119539.168728734
2011-11-22,119529.310127709
2011-11-23,119488.206458248
2011-11-24,119527.849045991
2011-11-25,119317.614674348
2011-11-28,119542.095526198
2011-11-29,119566.056798315
2011-11-30,119817.650731221
2011-12-01,119745.554413012
2011-12-02,119709.382590907
2011-12-05,119933.663578837
2011-12-07,120101.13642077
2011-12-08,120013.072586924
2011-12-09,120048.323837063
2011-12-12,119851.663290313
2011-12-13,119882.493408625
