"Index","SP500.usd"
2008-05-27,9628.1825
2008-05-28,9658.549296
2008-05-29,9700.988054
2008-05-30,9722.13815
2008-06-02,9606.85011
2008-06-03,9540.50178
2008-06-04,9556.94168
2008-06-05,9755.3394
2008-06-06,9420.123708
2008-06-09,9427.600656
2008-06-10,9400.268956
2008-06-11,9238.91982
2008-06-12,9255.152025
2008-06-13,9386.92706
2008-06-16,9385.64607
2008-06-17,9309.799002
2008-06-18,9207.075982
2008-06-19,9235.313325
2008-06-20,9067.490193
2008-06-23,9060.1956
2008-06-24,9029.435158
2008-06-25,9075.720641
2008-06-26,8809.722955
2008-06-27,8771.987884
2008-06-30,8773.632
2008-07-01,8809.856924
2008-07-02,8645.322712
2008-07-03,8652.1279
2008-07-07,8600.113694
2008-07-08,8735.16197
2008-07-09,8538.448931
2008-07-10,8576.822431
2008-07-11,8470.798609
2008-07-14,8407.59067
2008-07-15,8287.144092
2008-07-16,8482.022424
2008-07-17,8596.516688
2008-07-18,8593.803424
2008-07-21,8605.8
2008-07-22,8711.3109
2008-07-23,8756.716605
2008-07-24,8553.470406
2008-07-25,8576.66544
2008-07-28,8440.004875
2008-07-29,8622.22424
2008-07-30,8767.00089
2008-07-31,8658.10647
2008-08-01,8623.671175
2008-08-04,8557.966718
2008-08-05,8808.49484
2008-08-06,8829.275553
2008-08-07,8689.291624
2008-08-08,8889.5144
2008-08-11,8951.492964
2008-08-12,8854.195981
2008-08-13,8817.193476
2008-08-14,8873.37859
2008-08-15,8918.634
2008-08-18,8785.2606
2008-08-19,8689.366731
2008-08-20,8736.589338
2008-08-21,8744.971224
2008-08-22,8831.15324
2008-08-25,8676.207108
2008-08-26,8707.30048
2008-08-27,8763.35025
2008-08-28,8882.473788
2008-08-29,8785.717821
2008-09-02,8729.70414
2008-09-03,8725.198132
2008-09-04,8454.96988
2008-09-05,8500.257713
2008-09-08,8668.387346
2008-09-09,8373.934086
2008-09-10,8425.30554
2008-09-11,8554.368735
2008-09-12,8558.49875
2008-09-15,8168.44449
2008-09-16,8312.06776
2008-09-17,7907.279181
2008-09-18,8245.892595
2008-09-19,8578.4718
2008-09-22,8245.752499
2008-09-23,8094.867572
2008-09-24,8092.37688
2008-09-25,8247.091272
