"Index","price"
2008-07-28,2615.61725
2008-07-29,2606.05226
2008-07-30,2605.81158
2008-07-31,2622.271275
2008-08-01,2633.67825
2008-08-04,2633.215258
2008-08-05,2627.98737
2008-08-06,2616.408861
2008-08-07,2649.812888
2008-08-08,2645.3492
2008-08-11,2634.796917
2008-08-12,2654.906212
2008-08-13,2647.90778
2008-08-14,2659.48113
2008-08-15,2672.4987
2008-08-18,2681.20162
2008-08-19,2671.382258
2008-08-20,2679.776418
2008-08-21,2666.910972
2008-08-22,2655.42841
2008-08-25,2680.033284
2008-08-26,2680.51264
2008-08-27,2679.547875
2008-08-28,2671.202465
2008-08-29,2676.198012
2008-09-01,2667.32724
2008-09-02,2686.0523
2008-09-03,2699.652866
2008-09-04,2708.90172
2008-09-05,2710.645568
2008-09-08,2707.131782
2008-09-09,2723.062134
2008-09-10,2713.24326
2008-09-11,2723.522529
2008-09-12,2694.11175
2008-09-15,2755.505958
2008-09-16,2752.242344
2008-09-17,2769.007605
2008-09-18,2762.36821
2008-09-19,2685.4715
2008-09-22,2672.32632
2008-09-23,2661.887198
2008-09-24,2681.35432
2008-09-25,2662.615956
2008-09-26,2680.335807
2008-09-29,2723.733741
2008-09-30,2680.678062
2008-10-01,2694.299811
2008-10-02,2725.513467
2008-10-03,2724.075996
2008-10-06,2774.11166
2008-10-07,2743.867672
2008-10-08,2697.436104
2008-10-09,2674.45446
2008-10-10,2678.4998
2008-10-13,2678.7732
2008-10-14,2639.985552
2008-10-15,2643.10735
2008-10-16,2659.275507
2008-10-17,2661.676927
2008-10-20,2670.227595
2008-10-21,2712.734192
2008-10-22,2731.14612
2008-10-23,2753.134335
2008-10-24,2719.776899
2008-10-27,2713.236708
2008-10-28,2689.70004
2008-10-29,2676.66846
2008-10-30,2664.573012
2008-10-31,2657.487725
2008-11-03,2672.671385
2008-11-04,2702.88604
2008-11-05,2715.176692
2008-11-06,2711.53968
2008-11-07,2698.773984
2008-11-10,2702.47482
2008-11-11,2700.678123
2008-11-12,2724.395736
2008-11-13,2712.9443
2008-11-14,2727.67271
2008-11-17,2741.99628
2008-11-18,2774.050356
2008-11-19,2810.8865
2008-11-20,2872.472005
2008-11-21,2861.926686
2008-11-24,2820.801312
2008-11-25,2877.81728
2008-11-26,2903.494953
2008-11-27,2903.598009
2008-11-28,2913.635415
2008-12-01,3000.301722
2008-12-02,3002.676864
2008-12-03,3005.262383
2008-12-04,3037.596614
2008-12-05,3013.468912
2008-12-08,2995.091349
2008-12-09,3007.70613
2008-12-10,3000.61024
2008-12-11,3005.846208
2008-12-12,3020.96375
2008-12-15,3033.373696
2008-12-16,3076.21145
2008-12-17,3113.069032
2008-12-18,3144.55345
2008-12-19,3136.765905
2008-12-22,3137.370702
2008-12-23,3130.17541
2008-12-24,3117.07928
2008-12-25,3115.209426
2008-12-26,3135.208378
2008-12-29,3147.902124
2008-12-30,3142.782772
2008-12-31,3097.36908
2009-01-01,3097.642
2009-01-02,3055.47586
2009-01-05,3041.21182
2009-01-06,3039.91809
2009-01-07,3041.385845
2009-01-08,3054.154042
2009-01-09,3065.653395
2009-01-12,3091.100324
2009-01-13,3092.065448
2009-01-14,3115.2563
2009-01-15,3119.22149
2009-01-16,3093.650004
2009-01-19,3093.06375
2009-01-20,3085.56464
2009-01-21,3039.631077
2009-01-22,3021.422875
2009-01-23,3015.965715
2009-01-26,3011.109528
