"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 16, 2008","2,156.67","2,156.67","2,156.67","2,156.67","0","2.28"
"Apr 15, 2008","2,108.59","2,108.59","2,108.59","2,108.59","0","0.46"
"Apr 14, 2008","2,098.92","2,098.92","2,098.92","2,098.92","0","-0.34"
"Apr 11, 2008","2,106.01","2,106.01","2,106.01","2,106.01","0","-2.03"
"Apr 10, 2008","2,149.67","2,149.67","2,149.67","2,149.67","0","0.45"
"Apr 09, 2008","2,139.99","2,139.99","2,139.99","2,139.99","0","-0.80"
"Apr 08, 2008","2,157.28","2,157.28","2,157.28","2,157.28","0","-0.48"
"Apr 07, 2008","2,167.61","2,167.61","2,167.61","2,167.61","0","0.16"
"Apr 04, 2008","2,164.21","2,164.21","2,164.21","2,164.21","0","0.08"
"Apr 03, 2008","2,162.46","2,162.46","2,162.46","2,162.46","0","0.13"
"Apr 02, 2008","2,159.63","2,159.63","2,159.63","2,159.63","0","-0.17"
"Apr 01, 2008","2,163.38","2,163.38","2,163.38","2,163.38","0","3.59"
"Mar 31, 2008","2,088.42","2,088.42","2,088.42","2,088.42","0","0.57"
"Mar 28, 2008","2,076.56","2,076.56","2,076.56","2,076.56","0","-0.79"
"Mar 27, 2008","2,093.11","2,093.11","2,093.11","2,093.11","0","-1.12"
"Mar 26, 2008","2,116.93","2,116.93","2,116.93","2,116.93","0","-0.87"
"Mar 25, 2008","2,135.54","2,135.54","2,135.54","2,135.54","0","0.23"
"Mar 24, 2008","2,130.62","2,130.62","2,130.62","2,130.62","0","1.53"
"Mar 20, 2008","2,098.46","2,098.46","2,098.46","2,098.46","0","2.39"
"Mar 19, 2008","2,049.40","2,049.40","2,049.40","2,049.40","0","-2.43"
"Mar 18, 2008","2,100.38","2,100.38","2,100.38","2,100.38","0","4.24"
"Mar 17, 2008","2,014.88","2,014.88","2,014.88","2,014.88","0","-0.88"
"Mar 14, 2008","2,032.79","2,032.79","2,032.79","2,032.79","0","-2.08"
"Mar 13, 2008","2,075.88","2,075.88","2,075.88","2,075.88","0","0.52"
"Mar 12, 2008","2,065.21","2,065.21","2,065.21","2,065.21","0","-0.87"
"Mar 11, 2008","2,083.36","2,083.36","2,083.36","2,083.36","0","3.72"
"Mar 10, 2008","2,008.71","2,008.71","2,008.71","2,008.71","0","-1.54"
"Mar 07, 2008","2,040.17","2,040.17","2,040.17","2,040.17","0","-0.84"
"Mar 06, 2008","2,057.44","2,057.44","2,057.44","2,057.44","0","-2.19"
"Mar 05, 2008","2,103.42","2,103.42","2,103.42","2,103.42","0","0.57"
"Mar 04, 2008","2,091.42","2,091.42","2,091.42","2,091.42","0","-0.34"
